,time,coords_1,coords_2,distance
0,2019-11-05 08:54:32+00:00,,"('52.3696896997998', '4.911510845966745', datetime.datetime(2019, 11, 5, 8, 54, 32, tzinfo=tzutc()))",
1,2019-11-05 08:55:02+00:00,,"('52.369466977365214', '4.9121331184582', datetime.datetime(2019, 11, 5, 8, 55, 6, tzinfo=tzutc()))",
2,2019-11-05 08:55:32+00:00,,"('52.369466977365214', '4.9121331184582', datetime.datetime(2019, 11, 5, 8, 55, 6, tzinfo=tzutc()))",
3,2019-11-05 08:56:02+00:00,,"('52.369231152386924', '4.912723204441477', datetime.datetime(2019, 11, 5, 8, 55, 40, tzinfo=tzutc()))",
4,2019-11-05 08:56:32+00:00,,"('52.36898222465506', '4.913505393878495', datetime.datetime(2019, 11, 5, 8, 56, 22, tzinfo=tzutc()))",
5,2019-11-05 08:57:02+00:00,,"('52.368857760263076', '4.9139667338290565', datetime.datetime(2019, 11, 5, 8, 56, 46, tzinfo=tzutc()))",
6,2019-11-05 08:57:32+00:00,,"('52.36849091580457', '4.9150396174350135', datetime.datetime(2019, 11, 5, 8, 57, 45, tzinfo=tzutc()))",
7,2019-11-05 08:58:02+00:00,,"('52.36849091580457', '4.9150396174350135', datetime.datetime(2019, 11, 5, 8, 57, 45, tzinfo=tzutc()))",
8,2019-11-05 08:58:32+00:00,,"('52.36824001048172', '4.915705531964477', datetime.datetime(2019, 11, 5, 8, 58, 22, tzinfo=tzutc()))",
9,2019-11-05 08:59:02+00:00,,"('52.367997628059236', '4.916499465832885', datetime.datetime(2019, 11, 5, 8, 59, 5, tzinfo=tzutc()))",
10,2019-11-05 08:59:32+00:00,,"('52.367997628059236', '4.916499465832885', datetime.datetime(2019, 11, 5, 8, 59, 5, tzinfo=tzutc()))",
11,2019-11-05 09:00:02+00:00,,"('52.367702836834134', '4.917282670865234', datetime.datetime(2019, 11, 5, 8, 59, 49, tzinfo=tzutc()))",
12,2019-11-05 09:00:32+00:00,,"('52.36751285922449', '4.917958587536987', datetime.datetime(2019, 11, 5, 9, 0, 25, tzinfo=tzutc()))",
13,2019-11-05 09:01:02+00:00,,"('52.367349084767305', '4.918849080929931', datetime.datetime(2019, 11, 5, 9, 1, 10, tzinfo=tzutc()))",
14,2019-11-05 09:01:32+00:00,,"('52.367349084767305', '4.918849080929931', datetime.datetime(2019, 11, 5, 9, 1, 10, tzinfo=tzutc()))",
15,2019-11-05 09:02:02+00:00,,"('52.3669822277799', '4.919331878552612', datetime.datetime(2019, 11, 5, 9, 1, 47, tzinfo=tzutc()))",
16,2019-11-05 09:02:32+00:00,,"('52.36671363412523', '4.920072168240722', datetime.datetime(2019, 11, 5, 9, 2, 28, tzinfo=tzutc()))",
17,2019-11-05 09:03:02+00:00,,"('52.3664384877125', '4.9207588137485345', datetime.datetime(2019, 11, 5, 9, 3, 7, tzinfo=tzutc()))",
18,2019-11-05 09:03:32+00:00,,"('52.3664384877125', '4.9207588137485345', datetime.datetime(2019, 11, 5, 9, 3, 7, tzinfo=tzutc()))",
19,2019-11-05 09:04:02+00:00,,"('52.36627470927227', '4.921316713223632', datetime.datetime(2019, 11, 5, 9, 3, 37, tzinfo=tzutc()))",
20,2019-11-05 09:04:32+00:00,,"('52.365920945769204', '4.921788782010253', datetime.datetime(2019, 11, 5, 9, 4, 13, tzinfo=tzutc()))",
21,2019-11-05 09:05:02+00:00,,"('52.36549511557311', '4.922196477780517', datetime.datetime(2019, 11, 5, 9, 4, 52, tzinfo=tzutc()))",
22,2019-11-05 09:05:32+00:00,,"('52.36525271808982', '4.92186388386267', datetime.datetime(2019, 11, 5, 9, 5, 17, tzinfo=tzutc()))",
23,2019-11-05 09:06:02+00:00,,"('52.364839984179696', '4.9210592211582025', datetime.datetime(2019, 11, 5, 9, 6, 7, tzinfo=tzutc()))",
24,2019-11-05 09:06:32+00:00,,"('52.364839984179696', '4.9210592211582025', datetime.datetime(2019, 11, 5, 9, 6, 7, tzinfo=tzutc()))",
25,2019-11-05 09:07:02+00:00,,"('52.36455827469368', '4.920576423535522', datetime.datetime(2019, 11, 5, 9, 6, 39, tzinfo=tzutc()))",
26,2019-11-05 09:07:32+00:00,,"('52.36413898282995', '4.9196859301425775', datetime.datetime(2019, 11, 5, 9, 7, 33, tzinfo=tzutc()))",
27,2019-11-05 09:08:02+00:00,,"('52.36413898282995', '4.9196859301425775', datetime.datetime(2019, 11, 5, 9, 7, 33, tzinfo=tzutc()))",
28,2019-11-05 09:08:32+00:00,,"('52.36360175931414', '4.91963228596228', datetime.datetime(2019, 11, 5, 9, 8, 27, tzinfo=tzutc()))",
29,2019-11-05 09:09:02+00:00,,"('52.36324797440709', '4.920157998929199', datetime.datetime(2019, 11, 5, 9, 9, 4, tzinfo=tzutc()))",
30,2019-11-05 09:09:32+00:00,,"('52.36324797440709', '4.920157998929199', datetime.datetime(2019, 11, 5, 9, 9, 4, tzinfo=tzutc()))",
31,2019-11-05 09:10:02+00:00,,"('52.36250092626412', '4.919868255020333', datetime.datetime(2019, 11, 5, 9, 10, 4, tzinfo=tzutc()))",
32,2019-11-05 09:10:32+00:00,,"('52.36250092626412', '4.919868255020333', datetime.datetime(2019, 11, 5, 9, 10, 4, tzinfo=tzutc()))",
33,2019-11-05 09:11:02+00:00,,"('52.362088166646494', '4.920351052643014', datetime.datetime(2019, 11, 5, 9, 10, 44, tzinfo=tzutc()))",
34,2019-11-05 09:11:32+00:00,,"('52.361642644001954', '4.920597815872384', datetime.datetime(2019, 11, 5, 9, 11, 21, tzinfo=tzutc()))",
35,2019-11-05 09:12:02+00:00,,"('52.36114470161242', '4.92068364656086', datetime.datetime(2019, 11, 5, 9, 12, tzinfo=tzutc()))",
36,2019-11-05 09:12:32+00:00,,"('52.36092193609508', '4.921230817199898', datetime.datetime(2019, 11, 5, 9, 12, 31, tzinfo=tzutc()))",
37,2019-11-05 09:13:02+00:00,,"('52.361216772568746', '4.92219641244526', datetime.datetime(2019, 11, 5, 9, 13, 23, tzinfo=tzutc()))",
38,2019-11-05 09:13:32+00:00,,"('52.361216772568746', '4.92219641244526', datetime.datetime(2019, 11, 5, 9, 13, 23, tzinfo=tzutc()))",
39,2019-11-05 09:14:02+00:00,,"('52.36131505095611', '4.92343022859211', datetime.datetime(2019, 11, 5, 9, 14, 23, tzinfo=tzutc()))",
40,2019-11-05 09:14:32+00:00,,"('52.36131505095611', '4.92343022859211', datetime.datetime(2019, 11, 5, 9, 14, 23, tzinfo=tzutc()))",
41,2019-11-05 09:15:02+00:00,,"('52.36089572831334', '4.923795009018136', datetime.datetime(2019, 11, 5, 9, 15, tzinfo=tzutc()))",
42,2019-11-05 09:15:32+00:00,,"('52.360633649640796', '4.9243743661653525', datetime.datetime(2019, 11, 5, 9, 15, 34, tzinfo=tzutc()))",
43,2019-11-05 09:16:02+00:00,,"('52.360633649640796', '4.9243743661653525', datetime.datetime(2019, 11, 5, 9, 15, 34, tzinfo=tzutc()))",
44,2019-11-05 09:16:32+00:00,,"('52.360168456168765', '4.924588942886544', datetime.datetime(2019, 11, 5, 9, 16, 12, tzinfo=tzutc()))",
45,2019-11-05 09:17:02+00:00,,"('52.3599718940749', '4.92368772065754', datetime.datetime(2019, 11, 5, 9, 16, 58, tzinfo=tzutc()))",
46,2019-11-05 09:17:32+00:00,,"('52.35967049716603', '4.922883057953072', datetime.datetime(2019, 11, 5, 9, 17, 43, tzinfo=tzutc()))",
47,2019-11-05 09:18:02+00:00,,"('52.35967049716603', '4.922883057953072', datetime.datetime(2019, 11, 5, 9, 17, 43, tzinfo=tzutc()))",
48,2019-11-05 09:18:32+00:00,,"('52.35941496339385', '4.921638512970162', datetime.datetime(2019, 11, 5, 9, 18, 46, tzinfo=tzutc()))",
49,2019-11-05 09:19:02+00:00,,"('52.35941496339385', '4.921638512970162', datetime.datetime(2019, 11, 5, 9, 18, 46, tzinfo=tzutc()))",
50,2019-11-05 09:19:32+00:00,,"('52.35919218915605', '4.920544171692086', datetime.datetime(2019, 11, 5, 9, 19, 41, tzinfo=tzutc()))",
51,2019-11-05 09:20:02+00:00,,"('52.35919218915605', '4.920544171692086', datetime.datetime(2019, 11, 5, 9, 19, 41, tzinfo=tzutc()))",
